path,class,source,scene,width,height,sha1,license_status,privacy_status,include_in_publish,notes
data/public/plant_leaf/556e8aecb90f719e.jpg,plant_leaf,public,unknown,640,427,556e8aecb90f719e8084f4206d508e2695885cbf,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/fbb94e30440f6d44.jpg,plant_leaf,public,desktop,640,504,fbb94e30440f6d445f2cf1d37e19b285fe2061d4,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/f1c92cb9b072db74.jpg,plant_leaf,public,bright,164,102,f1c92cb9b072db74584d5473e152cfb70235fbd1,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/7602e5ac891472a5.jpg,plant_leaf,public,unknown,640,480,7602e5ac891472a50c17b725c5bf91f8e99f4601,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/7bd2799677a1b68d.jpg,plant_leaf,public,unknown,192,96,7bd2799677a1b68df4f66fa502a59d2eabba90b7,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/91a74a98be4938bd.jpg,plant_leaf,public,dark,640,480,91a74a98be4938bdc72aa47edaf921482680d3e7,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/4fc3bc98080dc2ce.jpg,plant_leaf,public,bright,541,640,4fc3bc98080dc2cea81a0042b598da6ff9802bc9,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/678977ce3bc4ba6e.jpg,plant_leaf,public,desktop,640,640,678977ce3bc4ba6ec9c2fb80ee8320fc9cf16a8b,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/a6399976277f4e28.jpg,plant_leaf,public,unknown,640,480,a6399976277f4e28e2ed8a3926c070bb6d402be1,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/4620b573908648e0.jpg,plant_leaf,public,unknown,640,480,4620b573908648e0db4cc7de8a55f42cd37b4041,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/3f0ef56d018ffe53.jpg,plant_leaf,public,desktop,640,480,3f0ef56d018ffe53da3600562d9e2d8472baf691,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/9675979f6c4ffa57.jpg,plant_leaf,public,desktop,480,640,9675979f6c4ffa577e35d4c4722327800bb52d6d,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/885d190d5f185ec7.jpg,plant_leaf,public,unknown,640,480,885d190d5f185ec7af1abfd7e21afb7bcc010e3f,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/2541d27f704f59db.jpg,plant_leaf,public,desktop,639,562,2541d27f704f59db188d6bc1075f2ea6e1e3d944,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/98654276dd4e9d52.jpg,plant_leaf,public,glare,640,426,98654276dd4e9d52419c12a4e003c7f9c4ea923b,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/9e95d9665814dea7.jpg,plant_leaf,public,unknown,640,480,9e95d9665814dea74434d840c9bc8d7f830c400d,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/33b7466919b5cbd3.jpg,plant_leaf,public,desktop,640,427,33b7466919b5cbd37793452716681b91db7fb874,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/6a447fd69eb15707.jpg,plant_leaf,public,desktop,640,427,6a447fd69eb15707601f4a45350688a9b7a0db2e,pending-review,pending-review,false,draft metadata only; image files not copied
data/public/plant_leaf/c64787673317566d.jpg,plant_leaf,public,unknown,639,359,c64787673317566dfa44b04bedb874117106f53d,pending-review,pending-review,false,draft metadata only; image files not copied
